Country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Aruba;73.569;73.647;73.726;73.752;73.576;73.811;74.026;74.21;74.147;74.56;75.404;75.465;75.531;75.636;75.601;75.683;75.617;75.903;76.072;76.248;75.723;74.626
Afghanistan;55.298;55.798;56.454;57.344;57.944;58.361;58.684;59.111;59.852;60.364;60.851;61.419;61.923;62.417;62.545;62.659;63.136;63.016;63.081;63.565;62.575;61.982
Angola;46.024;46.59;47.386;49.617;50.592;51.57;52.369;53.642;54.633;55.752;56.726;57.596;58.623;59.307;60.04;60.655;61.092;61.68;62.144;62.448;62.261;61.643
Albania;75.404;75.639;75.89;76.142;76.376;76.621;76.816;77.549;77.653;77.781;77.936;78.092;78.064;78.123;78.407;78.644;78.86;79.047;79.184;79.282;76.989;76.463
Argentina;73.926;74.186;74.408;74.08;74.855;75.139;75.433;75.006;75.641;75.936;75.721;76.124;76.467;76.491;76.755;76.76;76.308;76.833;76.999;77.284;75.892;75.39
Armenia;70.624;70.932;71.018;71.436;71.421;71.792;71.987;72.327;72.398;72.813;73.16;73.305;73.454;73.676;74.058;74.436;74.664;74.906;75.064;75.439;72.173;72.043
Antigua and Barbuda;74.606;75.078;75.536;75.478;75.672;75.825;75.765;76.131;76.41;76.669;76.82;77.104;77.35;77.583;77.858;77.913;78.152;78.268;78.511;78.691;78.841;78.497
Australia;79.23414634;79.63414634;79.93658537;80.23902439;80.4902439;80.84146341;81.04146341;81.29268293;81.39512195;81.54390244;81.69512195;81.89512195;82.04634146;82.14878049;82.3;82.4;82.44878049;82.5;82.74878049;82.9;83.2;83.3
Austria;78.12682927;78.57560976;78.67804878;78.63170732;79.1804878;79.33170732;79.8804878;80.1804878;80.43170732;80.33170732;80.5804878;80.98292683;80.93658537;81.13658537;81.4902439;81.1902439;81.64146341;81.64390244;81.69268293;81.89512195;81.19268293;81.23902439
Azerbaijan;64.891;65.51;66.239;66.756;67.346;67.562;68.165;68.603;68.811;69.356;69.529;69.984;70.36;70.881;71.116;71.451;72.004;72.248;72.76;73.102;66.868;69.366
Burundi;47.514;48.431;49.891;50.857;52.01;53.023;53.869;54.727;55.71;56.388;57.081;57.769;58.493;59.235;59.868;60.217;60.793;61.553;61.688;62.351;61.566;61.663
Belgium;77.72195122;77.97317073;78.07560976;78.12926829;78.87804878;78.9804878;79.3804878;79.78292683;79.6804878;80.03414634;80.18292683;80.58536585;80.38536585;80.58780488;81.28780488;80.99268293;81.43902439;81.49268293;81.59512195;81.99512195;80.69512195;81.8902439
Benin;56.578;56.66;56.606;56.738;56.826;57.125;57.456;57.675;57.869;57.956;58.363;58.462;58.716;58.965;59.125;59.377;59.539;59.856;60.14;60.454;60.088;59.821
Burkina Faso;50.847;51.071;51.272;51.793;52.416;53.092;53.742;54.375;55.342;55.959;56.477;57.125;57.619;57.823;58.359;58.845;59.326;59.536;60.047;60.039;59.731;59.27
Bangladesh;65.779;66.135;66.612;66.824;67.187;67.299;67.241;66.714;67.051;67.403;68.638;68.809;69.554;69.565;69.986;70.491;71.09;71.788;72.567;72.806;71.968;72.381
Bulgaria;71.66341463;71.76829268;71.86585366;72.06585366;72.56341463;72.56097561;72.61219512;72.66341463;72.96341463;73.41219512;73.51219512;74.16341463;74.31463415;74.86097561;74.46585366;74.61463415;74.81219512;74.81463415;74.96341463;75.11219512;73.65853659;71.51463415
Bahrain;75.496;75.908;76.088;76.337;76.56;76.931;77.156;77.634;78.084;78.461;78.748;78.89;79.081;79.246;79.328;79.405;79.557;79.689;79.857;80.019;79.174;78.76
Bahamas, The;72.041;72.11;72.232;72.402;72.478;72.765;72.855;72.678;72.667;72.579;72.731;72.564;72.753;73.024;73.366;73.104;73.537;73.632;73.806;71.205;72.677;71.598
Bosnia and Herzegovina;74.496;75.06;74.612;75.782;76.133;75.42;76.247;76.161;76.838;76.976;77.073;77.007;77.191;76.33;75.659;76.182;76.808;76.935;77.093;77.241;76.225;75.3
Belarus;68.91219512;68.50731707;68.05609756;68.55365854;68.95609756;68.85121951;69.40487805;70.20731707;70.45609756;70.40731707;70.40487805;70.55365854;71.96585366;72.47073171;72.97073171;73.62439024;73.82682927;74.12926829;74.17560976;74.22682927;72.45721951;72.37068293
Belize;68.564;68.357;68.752;68.909;69.227;69.376;70.093;70.655;71.151;71.819;72.272;72.651;73.245;73.666;73.311;73.187;73.399;73.562;73.703;73.931;72.854;70.47
Bermuda;78.858;79.871;80.631;79.345;81.12;77.927;77.585;79.361;78.623;79.996;80.499;81.403;81.272;79.992;79.518;80.918;80.608;82.351;80.825;81.033;81.136;79.28
Bolivia;62.346;62.843;63.306;63.635;64.004;64.386;64.779;65.027;65.446;65.88;66.162;66.534;66.705;67.021;67.163;67.318;67.628;67.701;67.748;67.841;64.467;63.63
Brazil;69.737;70.195;70.41;70.72;71.131;71.753;72.037;72.365;72.715;72.948;73.182;73.343;73.552;73.918;74.306;74.332;74.442;74.827;75.109;75.338;74.009;72.75
Barbados;74.089;74.247;74.366;74.472;74.727;74.89;75.068;75.342;75.447;75.678;75.712;75.917;76.099;76.275;76.476;76.65;76.815;76.936;77.067;77.257;77.393;77.571
Brunei Darussalam;74.08;74.276;74.426;74.561;74.65;74.731;74.783;74.818;74.84;74.846;74.849;74.858;74.827;74.799;74.779;74.75;74.733;74.722;74.712;74.748;74.795;74.642
Bhutan;62.01;63.444;64.078;64.696;65.268;65.805;66.362;66.954;67.499;67.897;68.43;68.881;69.326;69.707;70.049;70.343;70.602;70.847;71.129;71.391;71.609;71.815
Botswana;51.011;50.676;50.632;50.947;51.617;52.61;53.918;55.732;57.121;58.279;60.013;60.53;60.8;61.996;62.608;63.818;65.464;66.753;65.422;65.464;65.647;61.141
